ticker,name,market_cap,price,ma25,ma112,ma224,ma448,rsi,rsi_buy_zone,obv_rising,cloud_target,cloud_distance_pct,cloud_signal,poc_price,value_area_low,value_area_high,vp_distance_pct,vp_signal,match_count,error
PG,Procter & Gamble Company (The),337321714317.4292,145.1199951171875,145.12600036621095,145.84107208251953,147.77745601109095,155.55000029291426,49.29104024022374,False,True,145.04249954223633,0.0005342956388351898,True,144.65712127685546,142.0644958496094,152.43499755859375,0.021507831702107256,False,2,
TXN,Texas Instruments Incorporated,238275457098.6729,260.9100036621094,272.33719848632813,273.7219638824463,230.08839307512557,208.93743327685766,40.39370047915017,False,False,258.2300033569336,0.010378345933223728,True,177.65874614715577,152.72999572753906,279.6399978637695,0.7083088519661639,False,1,
C,"Citigroup, Inc.",220784221187.8507,131.6199951171875,134.15999908447264,130.792767729078,119.97647312709263,100.09709820577076,43.63011718045576,False,True,118.64999771118164,0.10931308601941557,False,99.14749994277955,94.33499927520752,127.33500385284424,0.3952403257375014,False,1,
AMD,"Advanced Micro Devices, Inc.",768438653763.0073,470.7200012207031,478.28760131835935,431.4666971479143,326.51950917925154,228.27392862524306,46.29910239738555,False,True,369.6549987792969,0.27340358652027125,False,219.99037284851076,160.1077507019043,366.97499084472656,1.9400200749625822,False,1,
META,"Meta Platforms, Inc.",1458039781230.9739,572.3400268554688,574.499599609375,603.4382117135184,630.0878554752895,645.294910294669,47.478776565742635,False,True,579.2400054931641,-0.011912123769525693,False,604.8037528991699,574.3680053710938,682.5839965820312,0.053676462634505796,False,1,
COST,Costco Wholesale Corporation,418595214803.83154,943.8900146484375,952.8719995117187,975.7155331202915,956.9622750963483,964.4630349023001,47.50580689609153,False,False,941.4375152587891,0.0026050580626949807,True,941.8804985046387,907.1699981689453,1001.8349990844727,0.04047754726634345,False,1,
LIN,Linde plc,225686662011.62082,489.5799865722656,488.16,503.8066962105887,474.91718782697404,466.3419420378549,48.256700524339685,False,True,449.30999755859375,0.08962629194205797,False,498.06875801086426,439.91650314331054,524.1370101928711,0.11289297644916116,False,1,
TSM,Taiwan Semiconductor Manufactur,2154046425066.0303,415.32000732421875,414.9344006347656,406.032678604126,362.23008932386125,285.5973883356367,48.400169342803245,False,True,381.97999572753906,0.08728208798782397,False,292.1396286010742,257.30125427246094,409.32325134277346,0.6141390701672558,False,1,
ABBV,AbbVie Inc.,453124237948.08154,256.4200134277344,254.88919982910156,229.76544639042444,227.5299549783979,210.28017844472612,51.5608862885423,False,True,226.19500732421875,0.13362366597328262,False,222.39700050354003,204.17600021362304,234.8640007019043,0.25587734679614665,False,1,
JNJ,Johnson & Johnson,640671556721.3037,265.8500061035156,263.7127990722656,244.17964267730713,229.49937500272478,194.6516295501164,52.93358694617668,False,True,226.31000518798828,0.17471609742875824,False,241.6602514266968,204.27200164794922,271.3130012512207,0.3014510258811311,False,1,
AAPL,Apple Inc.,4624166022075.806,316.8500061035156,313.38719970703124,295.5045533861433,280.59437445231845,252.3370086124965,54.07693471570603,False,True,281.45499420166016,0.12575727072192308,False,271.9152509689331,243.74299850463868,300.08750343322754,0.2999348003732942,False,1,
ORCL,Oracle Corporation,429535821455.2002,149.1199951171875,143.35719970703124,162.5125000136239,181.29924069132124,187.87890596049172,54.12450113716994,False,True,138.39749908447266,0.07747608232552117,False,146.2927501678467,120.28050003051757,206.98800048828124,0.23976866640355476,False,1,
TSLA,"Tesla, Inc.",1453236011834.5483,367.95001220703125,334.8059985351563,379.56151744297574,405.1303570611136,372.1269641263144,58.69447120456161,False,True,405.75499725341797,-0.09317195179921658,False,435.8768672943115,377.9599975585937,453.50374069213865,0.15583955053392384,False,1,
V,Visa Inc.,708301709530.3883,379.3699951171875,369.3652038574219,336.200804574149,334.2022763660976,337.1738610267639,62.412672800145295,False,True,308.9049987792969,0.2281121918270921,False,329.41601181030273,314.5180130004883,355.77400970458984,0.20619481058656738,False,1,
TMO,Thermo Fisher Scientific Inc,228171041163.56665,617.0999755859375,599.6776025390625,515.4529467991421,537.5725006375994,510.23549127578735,62.49370931387628,False,True,483.5250015258789,0.27625246603284376,False,469.67611579895015,440.56323928833007,572.8944961547852,0.40070691459137286,False,1,
CVX,Chevron Corporation,404364897705.0924,206.13999938964844,197.4572003173828,189.31348242078508,177.21419654573714,164.2965625013624,65.69236811779797,False,True,174.26499938964844,0.1829110843350074,False,188.27475624084474,158.42850570678712,207.88800659179688,0.3011547288791814,False,1,
MSFT,Microsoft Corporation,3766905035580.096,507.2900085449219,482.96039916992186,417.41330228533064,440.349686895098,445.6377896581377,68.2717643679124,False,True,375.66749572753906,0.3503697134149846,False,397.7735023498535,354.3130111694336,482.1379852294922,0.4317566461095447,False,1,
PLTR,Palantir Technologies Inc.,447882051236.084,186.3800048828125,163.94719848632812,142.37156193596977,155.0140176159995,136.162857064179,69.3231688778322,False,True,141.35725021362305,0.3185033282774658,False,135.4506281852722,124.07125301361084,177.17500381469728,0.5022013589430444,False,1,
KLAC,KLA Corporation,229233629090.08563,175.4499969482422,189.6876007080078,197.3436610358102,164.423209803445,121.66448897974831,35.80883945558257,False,False,235.98500061035156,-0.2565205564147791,False,147.6659729003906,83.2239990234375,189.69334716796874,1.1081659017470675,False,0,
AMAT,"Applied Materials, Inc.",363777143521.73254,458.3900146484375,504.25560180664064,481.44848142351424,384.0489729472569,277.55241077286854,37.020320504946035,False,False,558.3699951171875,-0.1790568643427317,False,220.3049991607666,183.7300003051758,490.95999069213866,1.4949110863062702,False,0,
CAT,"Caterpillar, Inc.",366576920263.79224,797.469970703125,832.5180029296876,863.6676777430943,744.1322757175991,560.922968523843,37.86738768827361,False,False,805.7000122070312,-0.010214771477242417,False,567.9682323455811,493.3874855041504,891.1514686584474,0.6163157642481726,False,0,
GE,GE Aerospace,348320102373.33936,335.7099914550781,359.6420007324219,328.82107216971264,319.05330412728443,271.70439764431546,38.396258234650205,False,False,325.94000244140625,0.02997480806434065,False,299.72788124084474,277.07225875854493,325.40425338745115,0.21163335860207189,False,0,
WMT,Walmart Inc.,834563782842.3672,104.87000274658203,110.36919921875,119.00491006033761,117.03691925321307,106.40504452160427,38.69599589965562,False,False,113.2450008392334,-0.07395468259601862,False,118.92400341033937,109.57600326538086,131.22400360107423,0.11817631647721226,False,0,
UNH,UnitedHealth Group Incorporated,349532412657.3605,389.4100036621094,403.04559814453125,380.1929454803467,350.04495443616594,383.99557965142384,40.060271832923895,False,False,343.7550048828125,0.13281260819711077,False,284.24687538146975,266.2525009155273,363.9362480163574,0.46255904572951095,False,0,
